0	-17.421791	0.028361	553.459106
1	-39.514111	0.008917	503.144653
2	-42.741974	0.006019	855.345886
3	-41.492634	0.007110	452.830200
4	-43.790821	0.005213	704.402527
5	-44.516445	0.005014	654.088074
6	-46.185680	0.004048	855.345886
7	-45.877174	0.004163	452.830200
8	-45.593323	0.004232	654.088074
9	-46.462612	0.003854	704.402527
10	-45.742527	0.004072	805.031433
11	-48.937828	0.002738	754.716980
12	-45.542805	0.004078	704.402527
13	-41.107121	0.007469	402.515717
14	-41.016563	0.006873	754.716980
15	-41.043430	0.006927	452.830200
16	-42.576866	0.006023	352.201263
17	-42.705891	0.006313	301.886780
18	-43.989883	0.005491	352.201263
19	-45.069614	0.004766	402.515717
20	-44.558025	0.004850	452.830200
21	-46.963902	0.003576	805.031433
22	-51.024998	0.002128	1056.603760
23	-45.216480	0.004490	402.515717
24	-49.517914	0.002677	654.088074
25	-48.140621	0.003207	553.459106
26	-49.614285	0.002658	855.345886
27	-48.897160	0.002873	704.402527
28	-47.672409	0.003245	654.088074
29	-47.291527	0.003557	553.459106
30	-49.418896	0.002595	955.974854
31	-45.817860	0.004696	100.628929
32	-49.463890	0.002810	352.201263
33	-49.703327	0.002679	553.459106
34	-50.777245	0.002365	754.716980
35	-54.171703	0.001639	603.773560
36	-48.836857	0.002964	603.773560
37	-49.059517	0.002915	503.144653
38	-49.360279	0.002837	603.773560
39	-48.142155	0.003166	553.459106
40	-49.833443	0.002587	603.773560
41	-48.443764	0.003213	905.660400
42	-48.358356	0.003040	955.974854
43	-26.249912	0.041328	251.572327
44	-25.480560	0.046335	201.257858
45	-27.420366	0.037375	201.257858
46	-29.025198	0.032426	150.943390
47	-25.505869	0.047369	301.886780
48	-24.343473	0.052900	603.773560
49	-20.801802	0.077084	402.515717
50	-17.121445	0.106706	654.088074
51	-14.906128	0.139066	452.830200
52	-13.551264	0.169674	452.830200
53	-12.225277	0.201200	402.515717
54	-12.898634	0.185800	402.515717
55	-15.677238	0.131239	553.459106
56	-22.699814	0.052196	553.459106
57	-23.500412	0.052588	402.515717
58	-20.805628	0.079381	201.257858
59	-27.248129	0.035679	352.201263
60	-24.888073	0.046861	301.886780
61	-28.818266	0.028486	754.716980
62	-19.127996	0.084556	503.144653
63	-17.770052	0.109217	553.459106
64	-18.580648	0.095915	603.773560
65	-18.072397	0.107526	201.257858
66	-18.820854	0.098216	201.257858
67	-19.782782	0.087430	201.257858
68	-21.090588	0.071597	654.088074
69	-20.493383	0.073508	855.345886
70	-17.717386	0.107202	553.459106
71	-18.940826	0.095122	452.830200
72	-21.474836	0.066229	352.201263
73	-20.874537	0.072338	754.716980
74	-19.252626	0.087166	754.716980
75	-20.293772	0.079871	402.515717
76	-19.952961	0.082021	553.459106
77	-25.170996	0.045536	603.773560
78	-29.040974	0.029349	452.830200
79	-27.741282	0.035642	301.886780
80	-27.637571	0.034907	452.830200
81	-28.634333	0.030896	301.886780
82	-29.783171	0.028113	251.572327
83	-33.445339	0.017619	553.459106
84	-33.177933	0.017525	553.459106
85	-39.500324	0.009225	352.201263
86	-39.007278	0.008995	855.345886
87	-34.535316	0.015207	1358.490601
88	-34.241940	0.016249	1308.176147
89	-40.032028	0.008479	503.144653
90	-35.241177	0.014633	251.572327
91	-40.499378	0.007692	503.144653
92	-41.965847	0.006265	603.773560
93	-42.578312	0.005881	553.459106
