0	-40.670116	0.007546	503.144653
1	-39.503250	0.008984	452.830200
2	-42.960449	0.005763	855.345886
3	-41.434681	0.007228	452.830200
4	-43.496559	0.005423	654.088074
5	-44.751202	0.004898	654.088074
6	-46.434059	0.003930	855.345886
7	-45.909481	0.004125	452.830200
8	-45.554585	0.004247	704.402527
9	-45.809189	0.004147	654.088074
10	-46.531933	0.003685	855.345886
11	-48.954437	0.002738	754.716980
12	-45.203186	0.004342	654.088074
13	-41.226009	0.007225	503.144653
14	-40.579494	0.007377	654.088074
15	-41.485020	0.006524	503.144653
16	-42.516033	0.006105	301.886780
17	-42.799923	0.006214	301.886780
18	-44.032814	0.005432	352.201263
19	-45.095387	0.004728	452.830200
20	-44.400463	0.005021	402.515717
21	-47.256748	0.003397	855.345886
22	-50.823032	0.002206	1006.289307
23	-45.286396	0.004367	503.144653
24	-49.508171	0.002698	603.773560
25	-47.595169	0.003469	503.144653
26	-50.437920	0.002436	855.345886
27	-47.690815	0.003234	704.402527
28	-48.931862	0.002835	704.402527
29	-46.906265	0.003805	503.144653
30	-50.096889	0.002368	955.974854
31	-45.836582	0.004665	201.257858
32	-49.105522	0.002988	251.572327
33	-50.083183	0.002521	654.088074
34	-50.788940	0.002368	654.088074
35	-53.495289	0.001753	654.088074
36	-48.691906	0.003005	603.773560
37	-49.188316	0.002893	503.144653
38	-49.564903	0.002755	603.773560
39	-48.146835	0.003162	503.144653
40	-49.855587	0.002566	654.088074
41	-48.358631	0.003256	1056.603760
42	-47.672539	0.003197	855.345886
43	-25.760542	0.044818	201.257858
44	-25.535381	0.046093	201.257858
45	-27.833485	0.035906	201.257858
46	-29.164265	0.031814	150.943390
47	-25.302992	0.048889	301.886780
48	-24.385042	0.052530	603.773560
49	-20.859612	0.075645	402.515717
50	-17.107227	0.107501	704.402527
51	-14.898769	0.139594	452.830200
52	-12.964975	0.185018	402.515717
53	-12.463422	0.195650	402.515717
54	-13.093493	0.179895	402.515717
55	-15.632499	0.132969	503.144653
